S. No.,College Name,College Type,State Name
1092,Dr N.G.P. Institute of Technology (Id: C-36929),Affiliated College,Tamil Nadu
1093,Dr. Paul's Engineering College (Id: C-16623),Affiliated College,Tamil Nadu
1094,Dr.Sivanthi Adithanar College of Engineering (Id: C-27038),Affiliated College,Tamil Nadu
1095,Easa College of Engineering & Technology (Id: C-36991),Affiliated College,Tamil Nadu
1096,Easwari Engineering College (Id: C-16560),Affiliated College,Tamil Nadu
1097,Edayathangudy G.S.Pillay Engineering College (Id: C-24989),Affiliated College,Tamil Nadu
1098,Einstein College of Engineering (Id: C-27050),Affiliated College,Tamil Nadu
1099,Erode Builder Educational Trust's Group of Institutions (Id: C-37104),Affiliated College,Tamil Nadu
1100,Erode Sengunthar Engineering College (Id: C-37099),Affiliated College,Tamil Nadu
1101,Er. Perumal Manimekalai College of Engineering (Id: C-37033),Affiliated College,Tamil Nadu
1102,E.S. College of Engineering and Technology (Id: C-16565),Affiliated College,Tamil Nadu
1103,Excel Business School (Id: C-37019),Affiliated College,Tamil Nadu
1104,Excel College of Architecture and Planning (Id: C-36963),Affiliated College,Tamil Nadu
1105,Excel College of Engineering & Technology (Id: C-37073),Affiliated College,Tamil Nadu
1106,Excel College of Technology (Id: C-37011),Affiliated College,Tamil Nadu
1107,Excel Engineering College (Id: C-36930),Affiliated College,Tamil Nadu
1108,"Fatima Michael College of Engineering and Technology, Madurai (Id: C-26784)",Affiliated College,Tamil Nadu
1109,Francis Xavier Engineering College (Id: C-27091),Affiliated College,Tamil Nadu
1110,Ganadipathy Tulsi's Engineering College (Id: C-16478),Affiliated College,Tamil Nadu
1111,"Ganapathy Chettiar College of Engineering and Technology, Paramakudi (Id: C-26801)",Affiliated College,Tamil Nadu
1112,"GANESH COLLEGE OF ENGINEERING, SALEM (Id: C-45300)",Affiliated College,Tamil Nadu
1113,Gem Business Academy (Id: C-36997),Affiliated College,Tamil Nadu
1114,GGR College of Engineering (Id: C-16469),Affiliated College,Tamil Nadu
1115,G.K.M. College of Engineering and Technology (Id: C-16521),Affiliated College,Tamil Nadu
1116,Global Institute of Engineering and Technology (Id: C-16473),Affiliated College,Tamil Nadu
1117,Gnanamani College of Engineering (Id: C-36996),Affiliated College,Tamil Nadu
1118,Gnanamani College of Technology (Id: C-36937),Affiliated College,Tamil Nadu
1119,Gnanamani Institute of Management Studies (Id: C-37088),Affiliated College,Tamil Nadu
1120,Gnanam School of Business (Id: C-25000),Affiliated College,Tamil Nadu
1121,Gojan School of Business and Technology (Id: C-16580),Affiliated College,Tamil Nadu
1122,Gopal Ramalingam Memorial Engineering College (Id: C-16592),Affiliated College,Tamil Nadu
1123,Government College of Engineering (Id: C-27034),Affiliated College,Tamil Nadu
1124,Government College of Engineering (Id: C-37003),Affiliated College,Tamil Nadu
1125,Government College of Engineering (Id: C-36980),Affiliated College,Tamil Nadu
1126,Government College of Technology (Id: C-36975),Affiliated College,Tamil Nadu
1127,Greentech College of Engineering for Women (Id: C-37039),Affiliated College,Tamil Nadu
1128,Hallmark Business School (Id: C-25061),Affiliated College,Tamil Nadu
1129,Happy Valley Business School (Id: C-36939),Affiliated College,Tamil Nadu
1130,Hindusthan College of Engineering and Technology (Id: C-37063),Affiliated College,Tamil Nadu
1131,Hindusthan Institute of Technology (Id: C-37046),Affiliated College,Tamil Nadu
1132,Holy Angels School of Business (New) (Id: C-24994),Affiliated College,Tamil Nadu
1133,Holycross Engineering Colleges (Id: C-27054),Affiliated College,Tamil Nadu
1134,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE (Id: C-48257),Affiliated College,Tamil Nadu
1135,Idhaya Engineering College for Women (Id: C-16523),Affiliated College,Tamil Nadu
1136,I.F.E.T. College of Engineering (Id: C-16543),Affiliated College,Tamil Nadu
1137,Imayam College of Engineering (Id: C-25031),Affiliated College,Tamil Nadu
1138,Imayam College of Information Technology (Id: C-25021),Affiliated College,Tamil Nadu
1139,Immanuel Arasar J.J.College of Engineering (Id: C-27094),Affiliated College,Tamil Nadu
1140,Indira Gandhi College of Engineering and Technology for Women (Id: C-16566),Affiliated College,Tamil Nadu
1141,Indira Institute of Engineering and Technology (Id: C-16582),Affiliated College,Tamil Nadu
1142,Indra Ganesan College of Engineering (Id: C-25066),Affiliated College,Tamil Nadu
1143,Indus College of Engineering (Id: C-36934),Affiliated College,Tamil Nadu
1144,Infant Jesus College of Engineering (Id: C-27045),Affiliated College,Tamil Nadu
1145,Infant Jesus College of Engineering and Technology (Id: C-27090),Affiliated College,Tamil Nadu
1146,Info Institute of Engineering (Id: C-37031),Affiliated College,Tamil Nadu
1147,Institute of Road and Transport Technology (Id: C-36974),Affiliated College,Tamil Nadu
1148,JAIRUPAA COLLEGE OF ENGINEERING (Id: C-49357),Affiliated College,Tamil Nadu
1149,James College of Engineering and Technology (Id: C-27083),Affiliated College,Tamil Nadu
1150,Jansons Institute of Technology (Id: C-37021),Affiliated College,Tamil Nadu
1151,Jawahar Engineering College (Id: C-16569),Affiliated College,Tamil Nadu
1152,Jawaharlal Institute of Technology (Id: C-37090),Affiliated College,Tamil Nadu
1153,Jaya Engineering College (Id: C-16577),Affiliated College,Tamil Nadu
1154,Jayalakshmi Institute of Technology (Id: C-37056),Affiliated College,Tamil Nadu
1155,Jayamatha Engineering College (Id: C-27085),Affiliated College,Tamil Nadu
1156,Jayam College of Engineering and Technology (Id: C-37097),Affiliated College,Tamil Nadu
1157,Jayaraj Annapackiam CSI College of Engineering (Id: C-27080),Affiliated College,Tamil Nadu
1158,Jayaram College of Engineering and Technology (Id: C-25011),Affiliated College,Tamil Nadu
1159,Jayaram College of Engineering and Technology (Standalone MCA Institution) (Id: C-25015),Affiliated College,Tamil Nadu
1160,Jaya Suriya Engineering College (Id: C-16509),Affiliated College,Tamil Nadu
1161,Jay Shriram Group of Institutions (Id: C-36950),Affiliated College,Tamil Nadu
1162,JCT College of Engineering and Technology (Id: C-37055),Affiliated College,Tamil Nadu
1163,J E I Mathaajee College of Engineering (Id: C-16596),Affiliated College,Tamil Nadu
1164,Jeppiaar Engineering College (Id: C-16539),Affiliated College,Tamil Nadu
1165,Jerusalem College of Engineering (Id: C-16525),Affiliated College,Tamil Nadu
1166,JEYARAJ CHELLATHURAI COLLEGE (Id: C-36503),Affiliated College,Tamil Nadu
1167,J.J. College of Engineering and Technology (Id: C-25008),Affiliated College,Tamil Nadu
1168,JKK Munirajah College of Technology (Id: C-37051),Affiliated College,Tamil Nadu
1169,J.K.K Munirajah School of Architecture (Id: C-36986),Affiliated College,Tamil Nadu
1170,J.K.K.Nattraja College of Engineering & Technology (Id: C-37096),Affiliated College,Tamil Nadu
1171,J N N Institute of Engineering (Id: C-16512),Affiliated College,Tamil Nadu
1172,Joe Suresh Engineering College (Id: C-27072),Affiliated College,Tamil Nadu
1173,John Bosco Engineering College (Id: C-16520),Affiliated College,Tamil Nadu
1174,J.P.College of Engineering (Id: C-27051),Affiliated College,Tamil Nadu
1175,Kalaignar Karunanidhi Institute of Technology (Id: C-37070),Affiliated College,Tamil Nadu
1176,Kalaivani College of Technology (Id: C-37042),Affiliated College,Tamil Nadu
1177,Kalasalingam Institute of Technology (Id: C-27066),Affiliated College,Tamil Nadu
1178,Kalsar College of Engineering (Id: C-16585),Affiliated College,Tamil Nadu
1179,Kamaraj College of Engineering and Technology (Id: C-27075),Affiliated College,Tamil Nadu
1180,Kamban Engineering College (Id: C-16586),Affiliated College,Tamil Nadu
1181,Kanchi Pallavan Engineering College (Id: C-16588),Affiliated College,Tamil Nadu
1182,"KARAIKUDI INSTITUTE OF TECHNOLOGY AND KARAIKUDI INSTITUTE OF MANAGEMENT, KARAIKUDI (Id: C-45319)",Affiliated College,Tamil Nadu
1183,Karpagam College of Engineering (Id: C-37044),Affiliated College,Tamil Nadu
1184,Karpagam Institute of Technology (Id: C-37035),Affiliated College,Tamil Nadu
1185,Karpaga Vinayaga College of Engineering and Technology (Id: C-16599),Affiliated College,Tamil Nadu
1186,Karpaga Vinayaga Institute of Management (Id: C-24980),Affiliated College,Tamil Nadu
1187,Karur College of Engineering (Id: C-36982),Affiliated College,Tamil Nadu
1188,Kathir College of Engineering (Id: C-36988),Affiliated College,Tamil Nadu
1189,KCG College of Technology (Id: C-16611),Affiliated College,Tamil Nadu
1190,KGiSL Institute of Technology (Id: C-36989),Affiliated College,Tamil Nadu
1191,King College of Technology (Id: C-36959),Affiliated College,Tamil Nadu
1192,Kings College of Engineering (Id: C-25038),Affiliated College,Tamil Nadu
1193,Kings Engineering College (Id: C-16466),Affiliated College,Tamil Nadu
1194,Kingston Engineering College (Id: C-16602),Affiliated College,Tamil Nadu
1195,K.K.C. College of Engineering and Technology (New) (Id: C-25035),Affiliated College,Tamil Nadu
1196,"K.L.N. College of Engineering Pottapalayam, Sivagangai Dist (Id: C-26785)",Affiliated College,Tamil Nadu
1197,"K.L.N. College of Information Technology, Pottapalayam, Sivagangai Dist (Id: C-26812)",Affiliated College,Tamil Nadu
1198,"KNOWLEDGE BUSINESS SCHOOL, SALEM (Id: C-45301)",Affiliated College,Tamil Nadu
1199,Knowledge Institute of Technology (Id: C-37058),Affiliated College,Tamil Nadu
1200,K.N.S.K. College of Engineering and Technology (Id: C-27092),Affiliated College,Tamil Nadu
1201,"Kodaikanal Institute of Technology, Kodaikanal (Id: C-26782)",Affiliated College,Tamil Nadu
1202,Kongu Engineering College (Id: C-37065),Affiliated College,Tamil Nadu
1203,Kongunadu College of Engineering and Technology (Id: C-24986),Affiliated College,Tamil Nadu
1204,KPR Institute of Engineering and Technology (Id: C-36999),Affiliated College,Tamil Nadu
1205,KPR School of Business (Id: C-37079),Affiliated College,Tamil Nadu
1206,K.Ramakrishnan College of Engineering (Id: C-24983),Affiliated College,Tamil Nadu
1207,K.Ramakrishnan College of Technology(New) (Id: C-25054),Affiliated College,Tamil Nadu
1208,Krishnaswamy College of Engineering (Id: C-25020),Affiliated College,Tamil Nadu
1209,KRS College of Engineering (Id: C-16589),Affiliated College,Tamil Nadu
1210,K.S.K College of Engineering and Technology (New) (Id: C-24999),Affiliated College,Tamil Nadu
1211,K.S.Rangasamy College of Technology (Id: C-39247),Affiliated College,Tamil Nadu
1212,K S R College of Engineering (Id: C-36924),Affiliated College,Tamil Nadu
1213,"KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY, NAMAKKAL (Id: C-45295)",Affiliated College,Tamil Nadu
1214,KTVR Knowledge Park for Engineering & Technology (Id: C-36931),Affiliated College,Tamil Nadu
1215,Kumaraguru college of Technology (Id: C-36926),Affiliated College,Tamil Nadu
1216,KUMARAN INSTITUTE OF TECHNOLOGY (Id: C-48249),Affiliated College,Tamil Nadu
1217,Kurinji College of Engineering and Technology (Id: C-25060),Affiliated College,Tamil Nadu
1218,KV Institute of Management and Information Studies (Id: C-36946),Affiliated College,Tamil Nadu
1219,Lakshmi Chand Rajani College of Engineering and Technology (Id: C-16494),Affiliated College,Tamil Nadu
1220,"Latha Mathavan Engineering College, Madurai (Id: C-26797)",Affiliated College,Tamil Nadu
1221,Lord Ayyappa Institute of Engineering and Technology (Id: C-16605),Affiliated College,Tamil Nadu
1222,Lord Jagannath College of Engineering and Technology (Id: C-27042),Affiliated College,Tamil Nadu
1223,Lord Venkateshwara Engineering College (Id: C-16556),Affiliated College,Tamil Nadu
1224,Loyola-ICAM College of Engineering and Technology (Id: C-16477),Affiliated College,Tamil Nadu
1225,Loyola Institute of Technology (Id: C-16518),Affiliated College,Tamil Nadu
1226,Loyola Institute of Technology and Science (Id: C-27087),Affiliated College,Tamil Nadu
1227,Maamallan Institute of Technology (Id: C-16483),Affiliated College,Tamil Nadu
1228,Madha Engineering College (Id: C-16595),Affiliated College,Tamil Nadu
1229,Madha Institute of Engineering & Technology (Id: C-16528),Affiliated College,Tamil Nadu
1230,Madras Institute of Technology Campus (Id: C-25070),Constituent / University College,Tamil Nadu
1231,"Madurai Institute of Engineering and Technology, Sivagangai (Id: C-26793)",Affiliated College,Tamil Nadu
1232,MADURAI SCHOOL OF MANAGEMENT (Id: C-48270),Affiliated College,Tamil Nadu
1233,Magna College of Engineering (Id: C-16545),Affiliated College,Tamil Nadu
1234,Maha Bharathi Engineering College (Id: C-16496),Affiliated College,Tamil Nadu
1235,Mahakavi Bharathiyar College of Engineering and Technology (Id: C-27055),Affiliated College,Tamil Nadu
1236,Mahalakshmi Engineering College (New) (Id: C-25065),Affiliated College,Tamil Nadu
1237,Maharaja Engineering College (Id: C-36998),Affiliated College,Tamil Nadu
1238,Maharaja Engineering College for Women (Id: C-36965),Affiliated College,Tamil Nadu
1239,Maharaja Institute of Technology (Id: C-37007),Affiliated College,Tamil Nadu
1240,Maharaja Prithvi Engineering College (Id: C-37071),Affiliated College,Tamil Nadu
1241,Mahath Amma Institute of Engineering and Technology (Id: C-25005),Affiliated College,Tamil Nadu
1242,Mahendra College of Engineering (Id: C-37074),Affiliated College,Tamil Nadu
1243,Mahendra Engineering College (Id: C-37054),Affiliated College,Tamil Nadu
1244,Mahendra Engineering College for Women (Id: C-36978),Affiliated College,Tamil Nadu
1245,Mahendra Institute of Engineering and Technology (Id: C-36952),Affiliated College,Tamil Nadu
1246,Mahendra Institute of Technology (Id: C-37004),Affiliated College,Tamil Nadu
1247,Mailam Engineering College (Id: C-16468),Affiliated College,Tamil Nadu
1248,M.A.M. B. School(New) (Id: C-25064),Affiliated College,Tamil Nadu
1249,M.A.M. College of Engineering (Id: C-25012),Affiliated College,Tamil Nadu
1250,M.A.M. College of Engineering and Technology (Id: C-25045),Affiliated College,Tamil Nadu
1251,M.A.M. School Architecture (New) (Id: C-25067),Affiliated College,Tamil Nadu
1252,M.A.M. School of Engineering (New) (Id: C-25007),Affiliated College,Tamil Nadu
1253,M.A.R. College of Engineering and Technology (Id: C-25042),Affiliated College,Tamil Nadu
1254,Mar Ephraem College of Engineering and Technology (Id: C-27039),Affiliated College,Tamil Nadu
1255,Maria College of Engineering and Technology (Id: C-27028),Affiliated College,Tamil Nadu
1256,Marthandam College of Engineering and Technology (Id: C-27057),Affiliated College,Tamil Nadu
1257,McGan's Ooty School of Architecture (Id: C-36933),Affiliated College,Tamil Nadu
1258,MEASI Academy of Architecture (Id: C-16489),Affiliated College,Tamil Nadu
1259,Meenaakshi Ramaswamy Engineering College (Id: C-25063),Affiliated College,Tamil Nadu
1260,Meenakshi College of Engineering (Id: C-16551),Affiliated College,Tamil Nadu
1261,Meenakshi Sundararajan Engineering College (Id: C-16480),Affiliated College,Tamil Nadu
1262,Mepco Schlenk Engineering College (Id: C-27058),Affiliated College,Tamil Nadu
1263,M.E.T. Engineering College (Id: C-27046),Affiliated College,Tamil Nadu
1264,"Michael Institute of Management, Madurai (Id: C-26805)",Affiliated College,Tamil Nadu
1265,M.I.E.T. Engineering College (Id: C-25046),Affiliated College,Tamil Nadu
1266,Misrimal Navajee Munoth Jain Engineering College (Id: C-16488),Affiliated College,Tamil Nadu
1267,MISRIMAL NAVAJEE MUNOTH JAIN SCHOOL OF ARCHITECTURE (Id: C-48250),Affiliated College,Tamil Nadu
1268,M.Kumarasamy College of Engineering (Id: C-37059),Affiliated College,Tamil Nadu
1269,"M.K. UNIVERSITY COLLEGE, KOTTUR (Id: C-36570)",Affiliated College,Tamil Nadu
1270,M.N.S.K. College of Engineering (Id: C-25049),Affiliated College,Tamil Nadu
1271,Mohamed Sathak A.J. Academy of Architecture (Id: C-16578),Affiliated College,Tamil Nadu
1272,Mohamed Sathak A.J. College of Engineering (Id: C-16571),Affiliated College,Tamil Nadu
1273,"Mohamed Sathak Engineering College, Kilakarai (Id: C-26795)",Affiliated College,Tamil Nadu
1274,Mookambigai College of Engineering (Id: C-25032),Affiliated College,Tamil Nadu
1275,Mother Terasa College of Engineering and Technology (Id: C-25069),Affiliated College,Tamil Nadu
1276,Mount Zion College of Engineering and Technology (Id: C-25024),Affiliated College,Tamil Nadu
1277,M.P.Nachimuthu M.Jaganathan Engineering College (Id: C-36960),Affiliated College,Tamil Nadu
1278,M.R.K. Institute of Technology (Id: C-25043),Affiliated College,Tamil Nadu
1279,Muthayammal Engineering College (Id: C-36954),Affiliated College,Tamil Nadu
1280,"MUTHAYAMMAL ENGINEERING COLLEGE (MCA PROGRAMME), NAMAKKAL (Id: C-45296)",Affiliated College,Tamil Nadu
1281,"MUTHAYAMMAL TECHNICAL CAMPUS, NAMAKKAL (Id: C-45297)",Affiliated College,Tamil Nadu
1282,NALANDA SCHOOL OF BUSINESS (Id: C-48279),Affiliated College,Tamil Nadu
1283,"NALANDA SCHOOL OF BUSINESS, TRICHY (Id: C-46106)",Affiliated College,Tamil Nadu
1284,Nandha College of Technology (Id: C-37038),Affiliated College,Tamil Nadu
1285,Nandha Engineering College (Id: C-36958),Affiliated College,Tamil Nadu
1286,Narasu's Sarathy Institute of Technology (Id: C-37026),Affiliated College,Tamil Nadu
1287,Narayana Guru College of Engineering (Id: C-27062),Affiliated College,Tamil Nadu
1288,National College of Engineerings (Id: C-27053),Affiliated College,Tamil Nadu
1289,National Engineering College (Id: C-27089),Affiliated College,Tamil Nadu
1290,Nehru Institute of Engineering and Technology (Id: C-37025),Affiliated College,Tamil Nadu
1291,Nehru Institute of Information Technology and Management (Id: C-37037),Affiliated College,Tamil Nadu
1292,Nehru Institute of Management Studies (Id: C-36962),Affiliated College,Tamil Nadu
1293,New Prince Shri Bhavani College of Engineering and Technology (Id: C-16470),Affiliated College,Tamil Nadu
1294,NIGHTINGALE INSTITUTE OF TECHNOLOGY (Id: C-48258),Affiliated College,Tamil Nadu
1295,"N.P.R. College of Engineering and Technology, Natham Village, Dindigul (Id: C-26811)",Affiliated College,Tamil Nadu
1296,"N.R. SCHOOL OF ARCHITECTURE, COIMBATORE (Id: C-45286)",Affiliated College,Tamil Nadu
1297,"N.S.N COLLEGE OF ENGINEERING AND TECHNOLOGY, KARUR (Id: C-45292)",Affiliated College,Tamil Nadu
1298,OAS Institute of Technology and Management Group of Institutions (New) (Id: C-25036),Affiliated College,Tamil Nadu
1299,"Odaiaappa Engineering College, Theni (Id: C-26809)",Affiliated College,Tamil Nadu
1300,"OOA-MAVMM SCHOOL OF MANAGEMENT, MADURAI (Id: C-45369)",Affiliated College,Tamil Nadu
1301,Oxford College of Engineering (Id: C-16558),Affiliated College,Tamil Nadu
1302,Oxford Engineering College (Id: C-25057),Affiliated College,Tamil Nadu
1303,Paavaai Group of Institutions (Id: C-36955),Affiliated College,Tamil Nadu
1304,Paavai College of Engineering (Id: C-37017),Affiliated College,Tamil Nadu
1305,Paavai Engineering College (Id: C-37000),Affiliated College,Tamil Nadu
1306,P.A.College of Engineering and Technology (Id: C-37041),Affiliated College,Tamil Nadu
1307,Pallavan College of Engineering (Id: C-16498),Affiliated College,Tamil Nadu
1308,"Pandiyan Saraswathi Yadav Engineering College, Arasanoor, Sivagangai (Id: C-26775)",Affiliated College,Tamil Nadu
1309,Panimalar Engineering College (Id: C-16620),Affiliated College,Tamil Nadu
1310,Panimalar Institute of Technology (Id: C-16484),Affiliated College,Tamil Nadu
1311,"Pannai College of Engineering and Technology, Manamadurai, Sivagangai Dist (Id: C-26798)",Affiliated College,Tamil Nadu
1312,"Pannaikkadu Veerammal Paramasivam College of Engineering and Technology for Women, Dindigul (Id: C-26799)",Affiliated College,Tamil Nadu
1313,Parisutham Institute of Technology and Science (Id: C-25003),Affiliated College,Tamil Nadu
1314,Park College of Engineering and Technology (Id: C-37015),Affiliated College,Tamil Nadu
1315,Park College of Technology (Id: C-37049),Affiliated College,Tamil Nadu
1316,Pavai College of Technology (Id: C-36967),Affiliated College,Tamil Nadu
1317,Pavendar Bharathidasan College of Engineering and Technology (Id: C-25058),Affiliated College,Tamil Nadu
1318,Pavendar Bharathidasan Institute of Information Technology (Id: C-25019),Affiliated College,Tamil Nadu
1319,P.B. College of Engineering (Id: C-16546),Affiliated College,Tamil Nadu
1320,PERI Institute of Technology (Id: C-16482),Affiliated College,Tamil Nadu
1321,PET Engineering College (Id: C-27037),Affiliated College,Tamil Nadu
1322,PGP college of Engineering and Technology (Id: C-36928),Affiliated College,Tamil Nadu
1323,P M R Engineering College (Id: C-16557),Affiliated College,Tamil Nadu
1324,Podhigai College of Engineering and Technology (Id: C-16462),Affiliated College,Tamil Nadu
1325,POLLACHI INSTITUTE OF ENGINEERING AND TECHNOLOGY (Id: C-48259),Affiliated College,Tamil Nadu
1326,Ponjesly College of Engineering (Id: C-27043),Affiliated College,Tamil Nadu
1327,Ponnaiyah Ramajayam College of Engineering and Technology (Id: C-24985),Affiliated College,Tamil Nadu
1328,PPG Business School (Id: C-37014),Affiliated College,Tamil Nadu
1329,PPG Institute of Technology (Id: C-37043),Affiliated College,Tamil Nadu
1330,Prahar School of Architecture (Id: C-37072),Affiliated College,Tamil Nadu
1331,Prathyusha Institute of Technology and Management (Id: C-16485),Affiliated College,Tamil Nadu
1332,P.R. Engineering College (Id: C-24996),Affiliated College,Tamil Nadu
1333,Prime College of Architecture and Planning (New) (Id: C-25001),Affiliated College,Tamil Nadu
1334,Prince Dr. K. Vasudevan College of Engineering & Technology (Id: C-16608),Affiliated College,Tamil Nadu
1335,Prince Shri Venkateshwara Padmavathy Engineering College (Id: C-16609),Affiliated College,Tamil Nadu
1336,Priyadarshini Engineering College (Id: C-16515),Affiliated College,Tamil Nadu
1337,Professional Group of Institutions (Id: C-36940),Affiliated College,Tamil Nadu
1338,PSG College of Technology (Id: C-37013),Affiliated College,Tamil Nadu
1339,"P.S.N.A. College of Engineering and Technology, Dindigul (Id: C-26783)",Affiliated College,Tamil Nadu
1340,PSN College of Engineering and Technology (Id: C-27041),Affiliated College,Tamil Nadu
1341,PSN Engineering College (Id: C-27070),Affiliated College,Tamil Nadu
1342,PSN Institute of Technology and Science (Id: C-27079),Affiliated College,Tamil Nadu
1343,P.S.R.Engineering College (Id: C-27082),Affiliated College,Tamil Nadu
1344,P.S.R.Rengasamy College of Engineering for Women (Id: C-27067),Affiliated College,Tamil Nadu
1345,P.S.V.College of Engineering and Technology (Id: C-37061),Affiliated College,Tamil Nadu
1346,P.T. Lee Chengalvaraya Naicker College of Engineering and Technology (Id: C-16627),Affiliated College,Tamil Nadu
1347,"PTR College of Engineering, Madurai (Id: C-26810)",Affiliated College,Tamil Nadu
1348,"Raja College of Engineering, Madurai (Id: C-26814)",Affiliated College,Tamil Nadu
1349,Raja International Institute of Technology for Women (Id: C-27031),Affiliated College,Tamil Nadu
1350,Rajalakshmi Engineering College (Id: C-16626),Affiliated College,Tamil Nadu
1351,Rajalakshmi Institute of Technology (Id: C-16532),Affiliated College,Tamil Nadu
1352,Rajiv Gandhi College of Engineering (Id: C-16540),Affiliated College,Tamil Nadu
1353,Ranganathan Architecture College (Id: C-37093),Affiliated College,Tamil Nadu
1354,Ranganathan Engineering College (Id: C-36972),Affiliated College,Tamil Nadu
1355,Ranippettai Engineering College (Id: C-16613),Affiliated College,Tamil Nadu
1356,"RATHINAM TECHNICAL CAMPUS, COIMBATORE (Id: C-45287)",Affiliated College,Tamil Nadu
1357,"RENGNAYAHI VARATHARAJ COLLEGE OF ENGINEERING TECHNOLOGY, VIRUDHUNAGAR (Id: C-45259)",Affiliated College,Tamil Nadu
1358,RKKR School Of Management Studies (Id: C-37083),Affiliated College,Tamil Nadu
1359,R.M.D Engineering College (Id: C-16527),Affiliated College,Tamil Nadu
1360,R M K College of Engineering and Technology (Id: C-16497),Affiliated College,Tamil Nadu
1361,R.M.K Engineering College (Id: C-16614),Affiliated College,Tamil Nadu
1362,Roever College of Engineering and Technology (Id: C-25009),Affiliated College,Tamil Nadu
1363,Roever Engineering College (Id: C-25010),Affiliated College,Tamil Nadu
1364,Roever Institute of Management (Id: C-25052),Affiliated College,Tamil Nadu
1365,ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-48273),Affiliated College,Tamil Nadu
1366,Rrase College of Engineering (Id: C-16622),Affiliated College,Tamil Nadu
1367,RVS College of Computer Application (Id: C-36973),Affiliated College,Tamil Nadu
1368,RVS College of Engineering and Technology (Id: C-36938),Affiliated College,Tamil Nadu
1369,"R.V.S. College of Engineering and Technology, Dindigul (Id: C-26791)",Affiliated College,Tamil Nadu
1370,RVS Educational Trust's Group of Institutions (Id: C-37001),Affiliated College,Tamil Nadu
1371,RVS Institute of Management Studies (Id: C-37086),Affiliated College,Tamil Nadu
1372,RVS - KVK Institute of Business Management (Id: C-25055),Affiliated College,Tamil Nadu
1373,RVS - KVK School of Architecture (New) (Id: C-25068),Affiliated College,Tamil Nadu
1374,RVS PADMAVATHY SCHOOL OF ARCHITECTURE (Id: C-48251),Affiliated College,Tamil Nadu
1375,R.V.S. School of Architecture (Id: C-37082),Affiliated College,Tamil Nadu
1376,"RVS School of Business Management, Dindigul (Id: C-26788)",Affiliated College,Tamil Nadu
1377,"RVS School of Computer Applications, Dindigul (Id: C-26790)",Affiliated College,Tamil Nadu
1378,"RVS School of Engineering and Technology, Dindigul (Id: C-26787)",Affiliated College,Tamil Nadu
1379,"RVS Schoool of Architecture, Dindigul (Id: C-26779)",Affiliated College,Tamil Nadu
1380,"SACS MAVMM Engineering College, Madurai (Id: C-26792)",Affiliated College,Tamil Nadu
1381,S.A Engineering College (Id: C-16463),Affiliated College,Tamil Nadu
1382,Sakthi Engineering College (Id: C-16493),Affiliated College,Tamil Nadu
1383,Sakthi Institute of Information and Management Studies (Id: C-37067),Affiliated College,Tamil Nadu
1384,Sakthi Mariamman Engineering College (Id: C-16555),Affiliated College,Tamil Nadu
1385,Salem College of Engineering and Technology (Id: C-37023),Affiliated College,Tamil Nadu
1386,Sams College of Engineering and Technology (Id: C-16510),Affiliated College,Tamil Nadu
1387,SAN International Business School (Id: C-37102),Affiliated College,Tamil Nadu
1388,SAN International Info School (Id: C-37081),Affiliated College,Tamil Nadu
1389,Sapthagiri College of Engineering (Id: C-36979),Affiliated College,Tamil Nadu
1390,Saranathan College of Engineering (Id: C-25006),Affiliated College,Tamil Nadu
1391,Saraswathi Velu College of Engineering (Id: C-16522),Affiliated College,Tamil Nadu
1392,Saraswathy College of Engineering and Technology (Id: C-16538),Affiliated College,Tamil Nadu
1393,Sardar Raja College of Engineerings (Id: C-27030),Affiliated College,Tamil Nadu
1394,SASI CREATIVE SCHOOL OF ARCHITECTURE (Id: C-48260),Affiliated College,Tamil Nadu
1395,Sasi Creative School of Business (Id: C-37066),Affiliated College,Tamil Nadu
1396,Sasurie Academy of Engineering (Id: C-36977),Affiliated College,Tamil Nadu
1397,Sasurie College of Engineering (Id: C-36935),Affiliated College,Tamil Nadu
1398,Satyam College of Engineering and Technology (Id: C-27096),Affiliated College,Tamil Nadu
1399,Saveetha Engineering College (Id: C-16590),Affiliated College,Tamil Nadu
1400,"SBM College of Engineering and Technology, Dindigul (Id: C-26796)",Affiliated College,Tamil Nadu
1401,SCAD College of Engineering and Technology (Id: C-27048),Affiliated College,Tamil Nadu
1402,Scad Engineering College (Id: C-27056),Affiliated College,Tamil Nadu
1403,SCAD INSTITUTE OF TECHNOLOGY (Id: C-48261),Affiliated College,Tamil Nadu
1404,School of Architecture & Planning Campus (Id: C-25073),Constituent / University College,Tamil Nadu
1405,Selvam College of Technology (Id: C-37068),Affiliated College,Tamil Nadu
1406,Sembodai Rukmani Varatharajan Engineering College (Id: C-24998),Affiliated College,Tamil Nadu
1407,Sengunthar B-School for Women (Id: C-36992),Affiliated College,Tamil Nadu
1408,Sengunthar College of Engineering (Id: C-36945),Affiliated College,Tamil Nadu
1409,Sengunthar Engineering College (Id: C-36966),Affiliated College,Tamil Nadu
1410,Sethu Institute of Technology (Id: C-27064),Affiliated College,Tamil Nadu
1411,Shanmuganathan Engineering College (Id: C-25059),Affiliated College,Tamil Nadu
